capcode,IDS ID,make,model,deriv,P11D,Rentals in P11D,  
ALGI14SR25HPTM,AL001390,Alfa Romeo,Giulietta,1.4 Turbo 120 Sprint 20,21900,54,
ALGI16SR25HDTA,AL001392,Alfa Romeo,Giulietta,1.6JTDM-2 120 Sprint Tct 20,24300,53,
ALGI16SR25HDTM,AL001391,Alfa Romeo,Giulietta,1.6JTDM-2 120 Sprint 20,23100,52,
ALST20SCP5EPTA4,AL001405,Alfa Romeo,Stelvio,2.0 T 200 Sprint Convenience Pack Auto AWD 22,43899,45,
ALST20VLS5EPTA4,AL001407,Alfa Romeo,Stelvio,2.0 T 280hp Veloce Lsd AU AWD 22,49599,49,
ALST22SCP5EDTA4,AL001406,Alfa Romeo,Stelvio,2.2D T 190 Sprint Convenience Pack Auto AWD 22,44689.01,46,
ALST22VLS5EDTA4,AL001408,Alfa Romeo,Stelvio,2.2D T 210hp Veloce Lsd AU AWD 22,50389.01,49,
ALST296QA5EPTA4,AL001409,Alfa Romeo,Stelvio,2.9 BiTurbo V6 510 Quadrifoglio Auto AWD 22,72699,52,
APA118   2CPTA,AI000018,Alpine,A110 Coupe,2 Door 1.8 Turbo 252PS DCT 22,49295,61,
APA118GT 2CPTA,AI000020,Alpine,A110 Coupe,2 Door 1.8 Turbo 300PS GT DCT 22,58745,60,
APA11830S2CPTA,AI000019,Alpine,A110 Coupe,2 Door 1.8 Turbo 300PS S DCT 22,59345,59,
AUA110BLK5HPTM  2,AU017577,Audi,A1 5 Door Sportback,25 TFSI 95 Black Edition 22,24915,68,
AUA110SL 5HPTM  2,AU017587,Audi,A1 5 Door Sportback,25 TFSI 95 S Line 22,23120,71,
AUA110SP 5HPTA  2,AU017591,Audi,A1 5 Door Sportback,25 TFSI 95 Sport S tronic 22,23010,66,
AUA110SP 5HPTM  2,AU017585,Audi,A1 5 Door Sportback,25 TFSI 95 Sport 22,21470,69,
AUA110TEK5HPTM  2,AU017589,Audi,A1 5 Door Sportback,25 TFSI 95 Technik 22,20020,70,
AUA1103BE5HPTM  2,AU017581,Audi,A1 5 Door Sportback,30 TFSI 110 Black Edition 22,25650,67,
AUA11011L5HPTM  2,AU017567,Audi,A1 5 Door Sportback,30 TFSI 110 S Line 22,23855,69,
AUA11011S5HPTM  2,AU017571,Audi,A1 5 Door Sportback,30 TFSI 110 Sport 22,22205,67,
AUA110TE15HPTM  2,AU017573,Audi,A1 5 Door Sportback,30 TFSI 110 Technik 22,20755,68,
AUA110BLK5HPTA  2,AU017579,Audi,A1 5 Door Sportback,25 TFSI 95 Black Edition S tronic 22,26455,66,
AUA110BLT5HPTA  2,AU017580,Audi,A1 5 Door Sportback,25 TFSI 95 Black Edition Tech Pack S tronic 22,28000,64,
AUA110BLT5HPTM  2,AU017578,Audi,A1 5 Door Sportback,25 TFSI 95 Black Edition Tech Pack 22,26460,66,
AUA110SL 5HPTA  2,AU017593,Audi,A1 5 Door Sportback,25 TFSI 95 S Line S tronic 22,24660,68,
AUA110STL5HPTM  2,AU017588,Audi,A1 5 Door Sportback,25 TFSI 95 S Line Tech Pack 22,24665,68,
AUA110STL5HPTA  2,AU017594,Audi,A1 5 Door Sportback,25 TFSI 95 S Line Tech Pack S tronic 22,26205,66,
