Cap Code,Manufacturer,Model Name,Variant,Basic List,Ex Works,Registration Fee,RFL 1 Year,Discount,Dealer,Additional,Gov Grant,OTR,CapType,RFL,OTR
KISL00EV 5HE A  3   ,KIA,SOUL,81kW EV 27kWh 5dr Auto,24870.83,495.83,55,0,0,0,0,0,30494.99,CAR,0,30494.99
BMI3009LW5HE A  1   ,BMW,I3,125kW 33kWh 5dr Auto [Lodge Interior World],29033.33,566.67,55,0,6,0,0,0,33484.6,CAR,0,33484.6
BMI300SLW5HE A  1   ,BMW,I3,135kW S 33kWh 5dr Auto [Lodge Interior World],31454.17,566.67,55,0,6,0,0,0,36215.31,CAR,0,36215.31
VWGO15LFE5EPTM  7   ,VOLKSWAGEN,GOLF,1.5 TSI Life 5dr,22016.67,529.17,55,180,16,0,0,0,23062.8,CAR,190,23072.8
MEAC13SPO5HPTA  6   ,MERCEDES-BENZ,A CLASS,A200 Sport 5dr Auto,23841.67,670.83,55,180,8,0,0,0,27361.2,CAR,230,27411.2
BMI30094A5HE A  1   ,BMW,I3,125kW 33kWh 5dr Auto,27783.33,566.67,55,0,6,0,0,0,32074.6,CAR,0,32074.6
BMI3009LI5HE A  1   ,BMW,I3,125kW 33kWh 5dr Auto [Loft Interior World],28616.67,566.67,55,0,6,0,0,0,33014.61,CAR,0,33014.61
BMI3009RI5HR A  1   ,BMW,I3,125kW Range Ext 33kWh 5dr Auto [Loft Int World],31241.67,566.67,55,0,6,0,0,0,35975.61,CAR,0,35975.61
BMI3009SW5HE A  1   ,BMW,I3,125kW 33kWh 5dr Auto [Suite Interior World],29450,566.67,55,0,6,0,0,0,33954.6,CAR,0,33954.6
BMI3009RE5HR A  1   ,BMW,I3,125kW Range Extender 33kWh 5dr Auto,30408.33,566.67,55,0,6,0,0,0,35035.6,CAR,0,35035.6
BMI300S945HE A  1   ,BMW,I3,135kW S 33kWh 5dr Auto,30204.17,566.67,55,0,6,0,0,0,34805.31,CAR,0,34805.31
BMI300SRI5HR A  1   ,BMW,I3,135kW S Range Ext 33kWh 5dr Auto [Loft Int World],33662.5,566.67,55,0,6,0,0,0,38706.3,CAR,0,38706.3
BMI300SLI5HE A  1   ,BMW,I3,135kW S 33kWh 5dr Auto [Loft Interior World],31037.5,566.67,55,0,6,0,0,0,35745.3,CAR,0,35745.3
BMI3009RS5HR A  1   ,BMW,I3,125kW Range Ext 33kWh 5dr Auto [Suite Int World],32075,566.67,55,0,6,0,0,0,36915.6,CAR,0,36915.6
BMI300SRL5HR A  1   ,BMW,I3,135kW S Range Ext 33kWh 5dr Auto [Lodge Int World],34079.17,566.67,55,0,6,0,0,0,39176.31,CAR,0,39176.31
BMI300SRS5HR A  1   ,BMW,I3,135kW S Range Ext 33kWh 5dr Auto [Suite Int World],34495.83,566.67,55,0,6,0,0,0,39646.3,CAR,0,39646.3
KISP16GTL5EPTA4 5   ,KIA,SPORTAGE,1.6T GDi ISG GT-Line 5dr DCT Auto [AWD],24000,537.5,55,555,0,0,0,0,30055,CAR,1420,30920
BMX2202SP5HDTA4     ,BMW,X2,xDrive 20d Sport 5dr Step Auto,31195.83,708.33,55,180,7,0,0,0,35899.54,CAR,230,35949.54
BMX220M205HDTA4     ,BMW,X2,xDrive 20d M Sport 5dr Step Auto,33754.17,708.33,55,180,7,0,0,0,38754.65,CAR,230,38804.65
BMX220M2X5HDTA4     ,BMW,X2,xDrive 20d M Sport X 5dr Step Auto,33754.17,708.33,55,180,7,0,0,0,38754.65,CAR,230,38804.65
NILE00ACE5HE A  1   ,NISSAN,LEAF,110kW Acenta 40kWh 5dr Auto,26200,0,55,0,3,9,0,0,27722.2,CAR,0,27722.2
NILE00TEK5HE A  1   ,NISSAN,LEAF,110kW Tekna 40kWh 5dr Auto,26616.67,0,55,0,3,9,0,0,28162.2,CAR,0,28162.2
BMX220SPO5HDTA4     ,BMW,X2,xDrive 18d Sport 5dr Step Auto,30262.5,708.33,55,180,7,0,0,0,34857.95,CAR,230,34907.95
BMX220MS 5HDTA4     ,BMW,X2,xDrive 18d M Sport 5dr Step Auto,32820.83,708.33,55,180,7,0,0,0,37713.04,CAR,230,37763.04
BMZ420SPO2RPTA  3   ,BMW,Z4,sDrive 20i Sport 2dr Auto,31737.5,708.33,55,220,10,0,0,0,35401.5,CAR,585,35766.5
BMZ430M4O2RPTA  3   ,BMW,Z4,sDrive M40i 2dr Auto,42070.83,708.33,55,555,10,0,0,0,46896.5,CAR,945,47286.5
AUET00ED15EE A4     ,AUDI,E-TRON,300kW 55 Quattro 95kWh Edition 1 5dr Auto,74004.17,550,55,0,0,0,0,0,89520,CAR,0,89520
BMX220SPO5HDTM      ,BMW,X2,sDrive 18d Sport 5dr,27679.17,708.33,55,180,7,0,0,0,31974.95,CAR,230,32024.95
BMX220MS 5HDTA      ,BMW,X2,sDrive 18d M Sport 5dr Step Auto,31570.83,708.33,55,180,7,0,0,0,36318.04,CAR,230,36368.04
