Manufacturer,2 Years,3 Years,4 Years,cap
Alfa Romeo,,,,AL
Audi,Inc,Inc,,AU
BMW,Inc,Inc,,BM
Citroen,,,,CI
Cupra,Inc,,,
Dacia,Inc,Inc,,DA
DS,Inc,Inc,,DS
Fiat,,,,FI
Ford,,,,FO
Honda,,,,HO
Hyundai,,,,HY
Jaguar,Inc,Inc,,JA
Jeep,,,,JE
Kia,,,,KI
Land Rover,Inc,Inc,,LR
Lexus,,,,LE
Maserati,,,,MS
Mazda,Inc,Inc,,MA
Mercedes,Inc,Inc,,ME
MG,,,,NM
Mini,Inc,Inc,,MN
Mitsubishi,Inc,Inc,,MI
Nissan,Inc,Inc,,NI
Peugeot,,,,PE
Polestar,Inc,Inc,,PS
Porsche,,,,PO
Renault,Inc,Inc,,RL
SEAT,Inc,,,SE
Skoda,,,,SK
Smart,,,,
Ssangyong,,,,SS
Subaru,Inc,Inc,,SU
Suzuki,,,,SI
Tesla,,,,TE
Toyota,Inc,,,TO
Vauxhall,,,,VA
VW,,,,VW
Volvo,Inc ,Inc,,VO
