CAP CODE,Manufacturer,Model,Variant,Basic List Price
FI5X10CLP5HPTM  1,Fiat,500X,Fiat 500X Hatchback 1.0 Club [plus Pack] 5Dr,19028.33
FI5X10CRP5HPTM  1,Fiat,500X,Fiat 500X Hatchback 1.0 Cross [plus Pack] 5Dr,20278.33
FI5X10SPP5HPTM  1,Fiat,500X,Fiat 500X Hatchback 1.0 Sport [plus Pack] 5Dr,21528.33
FI5D10CRP5HPTM  1,Fiat,500X,Fiat 500X Dolcevita Hatchback 1.0 Cross [plus Pack] 5Dr,22486.67
FI5D10SPP5HPTM  1,Fiat,500X,Fiat 500X Dolcevita Hatchback 1.0 Sport [plus Pack] 5Dr,23457.5
BM2S2020M2CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto,31804.17
BM2S20PP22CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto [pro Pack],33887.5
BM2S2023T2CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto [tech Pack],32845.83
BM2S200TP2CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto [tech/pro Pack],34929.17
CIBL007FX5EE A,Citroen,Berlingo,Citroen E-berlingo Electric Estate 100kW Flair XTR XL 50kWh 5Dr Auto [7 Seat],26820.83
SKFB10M1C5HPTM  5,Skoda,Fabia,Skoda Fabia Hatchback 1.0 TSI 110 Monte Carlo 5Dr,16733.33
SKFB10M1C5HPTA  5,Skoda,Fabia,Skoda Fabia Hatchback 1.0 TSI 110 Monte Carlo 5Dr DSG,17566.67
SKFB15MC55HPTA  5,Skoda,Fabia,Skoda Fabia Hatchback 1.5 TSI 150 Monte Carlo 5Dr DSG,19066.67
JERE13UPL5HXTA4 1,Jeep,Renegade,Jeep Renegade Hatchback 1.3 Turbo 4xe Phev 240 Upland 5Dr Auto,29162.5
DADU10ESE5EPTM  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.0 TCe 90 Extreme SE 5Dr,14137.5
DADU13ESE5EPTM  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.3 TCe 130 Extreme SE 5Dr,15262.5
DADU13ESE5EPTA  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.3 TCe 150 Extreme SE 5Dr EDC,16929.17
DADU15ESE5EDTM  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.5 Blue dCi Extreme SE 5Dr,15712.5
DADU15ESE5EDTM4 4,Dacia,Duster,Dacia Duster Estate Special Edition 1.5 Blue dCi Extreme SE 5Dr 4X4,17595.83
PS2 009SM5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range Single Motor 5Dr Auto,34083.33
PS2 009SP5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range SM [pilot] 5Dr Auto,35875
PS2 009SL5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range SM [plus] 5Dr Auto,37416.67
BM8S30MS 2CPTA  2,BMW,8 Series,BMW 8 Series Coupe 840i M Sport 2Dr Auto,64291.67
BM8S30MSU2CPTA  2,BMW,8 Series,BMW 8 Series Coupe 840i M Sport 2Dr Auto [ultimate Pack],79291.67
BM8S30MS 2VPTA  1,BMW,8 Series,BMW 8 Series Convertible 840i M Sport 2Dr Auto,70125
BM8S30MSU2VPTA  1,BMW,8 Series,BMW 8 Series Convertible 840i M Sport 2Dr Auto [ultimate Pack],82625
BM8S30MS 4SPTA  1,BMW,8 Series,BMW 8 Series Gran Coupe 840i M Sport 4Dr Auto,62208.33
BM8S30MSU4SPTA  1,BMW,8 Series,BMW 8 Series Gran Coupe 840i M Sport 4Dr Auto [ultimate Pack],78041.67
POTS0037 5EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 300kW 79kWh 5Dr RWD Auto,62500
POTS003795EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 300kW 79kWh 5Dr RWD Auto [5 Seat],62780
POTS004S 5EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 390kW 4S 79kWh 5Dr Auto,71666.67
POTS004S55EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 390kW 4S 79kWh 5Dr Auto [5 Seat],71946.67
VAMK12DN15HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo 100 Design 5Dr,17766.67
VAMK12GS05HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo 100 GS Line 5Dr,19745.83
VAMK12DES5HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo Design 5Dr,18766.67
VAMK12DES5HPTA  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo Design 5Dr Auto,19908.33
VAMK12GSL5HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo GS Line 5Dr,20745.83
VAMK12GSL5HPTA  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo GS Line 5Dr Auto,22079.17
VAMK12ULT5HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo Ultimate 5Dr,23429.17
VAMK15DES5HDTM  1,Vauxhall,Mokka,Vauxhall Mokka Diesel Hatchback 1.5 Turbo D Design 5Dr,19266.67
VAMK15GSL5HDTM  1,Vauxhall,Mokka,Vauxhall Mokka Diesel Hatchback 1.5 Turbo D GS Line 5Dr,21245.83
VAMK00GSL5HE A  1,Vauxhall,Mokka,Vauxhall Mokka-e Electric Hatchback 100kW GS Line 50kWh 5Dr Auto,25983.33
VACO12DES5HPTM  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo Design 5Dr,14412.5
VACO12GSL5HPTM  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo GS Line 5Dr,16204.17
VACO12GSL5HPTA  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo GS Line 5Dr Auto,18454.17
VACO12DES5HPIM  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Design 5Dr,13662.5
VACO12DES5HPTA  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo Design 5Dr Auto,15854.17
VACO00ULT5HE A  6,Vauxhall,Corsa,Vauxhall Corsa-e Electric Hatchback 100kW Ultimate 50kWh 5Dr Auto [11kwch],25337.5
PS2 009PP5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range SM Pilot/plus 5Dr Auto,39208.33
POTS0039 5EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 350kW 93kWh 5Dr RWD Auto,65874.17
POTS003955EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 350kW 93kWh 5Dr RWD Auto [5 Seat],66154.17
POTS004S95EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 420kW 4S 93kWh 5Dr Auto,74921.67
POTS004955EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 420kW 4S 93kWh 5Dr Auto [5 Seat],75201.67
VACO12GSL5HPIM  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 GS Line 5Dr,15454.17
VACO00GSL5HE A  6,Vauxhall,Corsa,Vauxhall Corsa-e Electric Hatchback 100kW GS Line 50kWh 5Dr Auto [11kwch],23166.67
POMA20T  5EPTA4 2,Porsche,Macan,Porsche Macan Estate T 5Dr PDK,44975
JAFP30SP 5EPTA4 1,Jaguar,F-pace,Jaguar F-pace Estate 3.0 P400 Sport 5Dr Auto AWD,54945.83
JAFP30SP 5EDTA4 1,Jaguar,F-pace,Jaguar F-pace Diesel Estate 3.0 D300 Sport 5Dr Auto AWD,50216.67
NILE00ACE5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW Acenta 39kWh 5Dr Auto,23700
NILE00ACT5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW Acenta 39kWh 5Dr Auto [tech Pack],24075
NILE00NCN5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW N-connecta 39kWh 5Dr Auto,25366.67
NILE00TEK5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW Tekna 39kWh 5Dr Auto,26616.67
NILE00ENA5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 160kW e+ N-connecta 59kWh 5Dr Auto,27825
NILE00EPT5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 160kW e+ Tekna 59kWh 5Dr Auto,29075
NILE00NPP5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW N-connecta 39kWh 5Dr Auto [propilot Pack],25741.67
NILE00ENP5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 160kW e+ N-connecta 59kWh 5Dr Auto [propilot Pack],28200
R1CL10EVN5HPTM  7,Renault,Clio,Renault Clio Hatchback 1.0 TCe 90 Evolution 5Dr,14875
R1CL16EVN5HH A  7,Renault,Clio,Renault Clio Hatchback 1.6 E-tech Hybrid 145 Evolution 5Dr Auto,17083.33
R1CL10TEH5HPTM  7,Renault,Clio,Renault Clio Hatchback 1.0 TCe 90 Techno 5Dr,15791.67
R1CL16TEH5HH A  7,Renault,Clio,Renault Clio Hatchback 1.6 E-tech Hybrid 145 Techno 5Dr Auto,18000
R1CL164RS5HH A  7,Renault,Clio,Renault Clio Hatchback 1.6 E-tech Hybrid 145 RS Line 5Dr Auto,18916.67
R1CP10EVL5HPTM  2,Renault,Captur,Renault Captur Hatchback 1.0 TCE 90 Evolution 5Dr,17675
R1CP13EVL5HPTM  2,Renault,Captur,Renault Captur Hatchback 1.3 TCE 140 Evolution 5Dr,18925
R1CP16EVL5HH A  2,Renault,Captur,Renault Captur Hatchback 1.6 E-tech Hybrid 145 Evolution 5Dr Auto,19900
R1CP10TNO5HPTM  2,Renault,Captur,Renault Captur Hatchback 1.0 TCE 90 Techno 5Dr,19008.33
R1CP13TNO5HPTM  2,Renault,Captur,Renault Captur Hatchback 1.3 TCE 140 Techno 5Dr,20258.33
R1CP16TNO5HH A  2,Renault,Captur,Renault Captur Hatchback 1.6 E-tech Hybrid 145 Techno 5Dr Auto,21233.33
R1CP16TNO5HX A  2,Renault,Captur,Renault Captur Hatchback 1.6 E-tech Phev 160 Techno 5Dr Auto,25450
TOYA15ICN5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid Icon 5Dr CVT [nav],17211.67
TOYA15GSB5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid GR Sport 5Dr CVT [bi-tone],20028.33
TOYA15GSP5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid GR Sport 5Dr CVT,19265.83
TOYA15DNP5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid Design 5Dr CVT [nav/panoramic Roof],18507.5
TOYA15DNS5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid Design 5Dr CVT [nav],18095
TOYA15GRC5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid GR Sport 5Dr CVT [city Pack],20340.83
TOYA15GCB5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid GR Sport 5Dr CVT [city Pack/bi-tone],21103.33
PS2 007PM5HE A4,Polestar,2,Polestar 2 Fastback 350kW 78kWh LR DM [performance] 5Dr 4WD Auto,43250
LRRV30HST5EPTA4,Land Rover,Range Rover Velar,Land Rover Range Rover Velar Estate 3.0 P400 HST 5Dr Auto,59787.5
LRRV30H3S5EDTA4,Land Rover,Range Rover Velar,Land Rover Range Rover Velar Diesel Estate 3.0 D300 Mhev HST 5Dr Auto,56991.67
VWMV20LIF5EDTA,Volkswagen,Multivan,Volkswagen Multivan Diesel Estate 2.0 TDI Life 5Dr DSG,35860
VWMV20LL65EDTA,Volkswagen,Multivan,Volkswagen Multivan Diesel Estate 2.0 TDI Life 5Dr LWB DSG [6 Seat],36985
VWMV20LF65EDTA,Volkswagen,Multivan,Volkswagen Multivan Diesel Estate 2.0 TDI Life 5Dr DSG [6 Seat],35860
VWMV20LIL5EDTA,Volkswagen,Multivan,Volkswagen Multivan Diesel Estate 2.0 TDI Life 5Dr LWB DSG,36985
VWMV20S6T5EDTA,Volkswagen,Multivan,Volkswagen Multivan Diesel Estate 2.0 TDI Style 5Dr DSG [6 Seat],44360
VWMV20STB5EDTA,Volkswagen,Multivan,Volkswagen Multivan Diesel Estate 2.0 TDI Style 5Dr LWB DSG,45485
VWMV20SB65EDTA,Volkswagen,Multivan,Volkswagen Multivan Diesel Estate 2.0 TDI Style 5Dr LWB DSG [6 Seat],45485
