Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100018,FI5X10CLP5HPTM  1,Fiat,500X,Fiat 500X Hatchback 1.0 Club [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,142,44.8,19028.33,19028.33,0,23845,0,23560,24,20000,520.69,0,520.69,52.07,572.76,7.55,24,30000,538.95,0,538.95,53.9,592.85,7.55,0,0, 
100019,FI5X10CRP5HPTM  1,Fiat,500X,Fiat 500X Hatchback 1.0 Cross [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,142,43.5,20278.33,20278.33,0,25345,0,25060,24,20000,524.16,0,524.16,52.42,576.58,8.4,24,30000,545.03,0,545.03,54.5,599.53,8.4,0,0, 
100020,FI5X10SPP5HPTM  1,Fiat,500X,Fiat 500X Hatchback 1.0 Sport [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,141,40.9,21528.33,21528.33,0,26845,0,26560,24,20000,561.53,0,561.53,56.15,617.68,8.75,24,30000,583.27,0,583.27,58.33,641.6,8.75,0,0, 
100025,FI5D10CRP5HPTM  1,Fiat,500X,Fiat 500X Dolcevita Hatchback 1.0 Cross [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,146,44.1,22486.67,22486.67,0,27995,0,27710,24,20000,588.07,0,588.07,58.81,646.88,9.45,24,30000,611.54,0,611.54,61.15,672.69,8.75,0,0, 
100026,FI5D10SPP5HPTM  1,Fiat,500X,Fiat 500X Dolcevita Hatchback 1.0 Sport [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,142,44.8,23457.5,23457.5,0,29160,0,28875,24,20000,616.01,0,616.01,61.6,677.61,9.8,24,30000,640.37,0,640.36,64.04,704.4,9.1,0,0, 
100029,BM2S2020M2CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto,2022,2,Petrol,Coupe,4,Semi-auto,8,245,1998,151,42.8,31804.17,31804.17,0,39630,0,39015,24,20000,708.65,0,708.64,70.87,779.51,14.35,24,30000,744.29,0,744.29,74.43,818.72,14.35,0,0, 
100030,BM2S20PP22CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto [pro Pack],2022,2,Petrol,Coupe,4,Semi-auto,8,245,1998,154,42.8,33887.5,33887.5,0,42130,0,41515,24,20000,784.29,0,784.29,78.43,862.72,14.7,24,30000,820.82,0,820.81,82.08,902.89,15.05,0,0, 
100031,BM2S2023T2CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto [tech Pack],2022,2,Petrol,Coupe,4,Semi-auto,8,245,1998,151,42.8,32845.83,32845.83,0,40880,0,40264.99,24,20000,750.68,0,750.68,75.07,825.75,14.7,24,30000,787.22,0,787.21,78.72,865.93,14.7,0,0, 
100032,BM2S200TP2CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto [tech/pro Pack],2022,2,Petrol,Coupe,4,Semi-auto,8,245,1998,154,42.8,34929.17,34929.17,0,43380,0,42765,24,20000,813.56,0,813.56,81.36,894.92,15.05,24,30000,850.94,0,850.94,85.09,936.03,15.4,0,0, 
100034,CIBL007FX5EE A,Citroen,Berlingo,Citroen E-berlingo Electric Estate 100kW Flair XTR XL 50kWh 5Dr Auto [7 Seat],2022,5,Electric,Estate,7,Auto,1,136,1,0,0,26820.83,26820.83,536.41,32024.44,268.21,32940,24,20000,588.97,0,588.97,58.9,647.87,12.6,24,30000,617.81,0,617.82,61.78,679.6,12.95,168,50, 
100035,SKFB10M1C5HPTM  5,Skoda,Fabia,Skoda Fabia Hatchback 1.0 TSI 110 Monte Carlo 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,110,999,124,58.9,16733.33,16733.33,1505.99,19127.79,0,20689.99,24,20000,307.31,0,307.31,30.73,338.04,9.45,24,30000,330.17,0,330.17,33.02,363.19,9.1,0,0, 
