Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100018,FI5X10CLP5HPTM  1,Fiat,500X,Fiat 500X Hatchback 1.0 Club [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,142,44.8,19028.33,19028.33,0,23835,0,23560,24,10000,509.67,0,509.68,50.97,560.65,7.55,36,15000,402.59,0,402.6,40.26,442.86,7.55,0,0, 
100019,FI5X10CRP5HPTM  1,Fiat,500X,Fiat 500X Hatchback 1.0 Cross [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,142,43.5,20278.33,20278.33,0,25335,0,25060,24,10000,511.67,0,511.67,51.17,562.84,7.55,36,15000,410.45,0,410.44,41.05,451.49,7.55,0,0, 
100020,FI5X10SPP5HPTM  1,Fiat,500X,Fiat 500X Hatchback 1.0 Sport [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,141,40.9,21528.33,21528.33,0,26835,0,26560,24,10000,548.66,0,548.67,54.87,603.54,7.55,36,15000,438.18,0,438.18,43.82,482,7.55,0,0, 
100025,FI5D10CRP5HPTM  1,Fiat,500X,Fiat 500X Dolcevita Hatchback 1.0 Cross [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,146,44.1,22486.67,22486.67,0,27985,0,27710,24,10000,574.89,0,574.89,57.49,632.38,7.55,36,15000,458.37,0,458.36,45.84,504.2,7.55,0,0, 
100026,FI5D10SPP5HPTM  1,Fiat,500X,Fiat 500X Dolcevita Hatchback 1.0 Sport [plus Pack] 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,120,999,142,44.8,23457.5,23457.5,0,29150,0,28875,24,10000,602.53,0,602.53,60.25,662.78,7.55,36,15000,479.21,0,479.21,47.92,527.13,7.55,0,0, 
100029,BM2S2020M2CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto,2022,2,Petrol,Coupe,4,Semi-auto,8,245,1998,156,42.8,30875,30875,0,38485,0,37900,24,10000,650.69,0,650.7,65.07,715.77,7.55,36,15000,540.67,0,540.68,54.07,594.75,7.55,0,0, 
100030,BM2S20PP22CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto [pro Pack],2022,2,Petrol,Coupe,4,Semi-auto,8,245,1998,156,42.8,32958.33,32958.33,0,40985,0,40399.99,24,10000,724.94,0,724.94,72.49,797.43,7.55,36,15000,604.25,0,604.25,60.43,664.68,7.55,0,0, 
100031,BM2S2023T2CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto [tech Pack],2022,2,Petrol,Coupe,4,Semi-auto,8,245,1998,156,42.8,31916.67,31916.67,0,39735,0,39150,24,10000,678.76,0,678.76,67.88,746.64,7.55,36,15000,561.91,0,561.9,56.19,618.09,7.55,0,0, 
100032,BM2S200TP2CPTA  2,BMW,2 Series,BMW 2 Series Coupe 230i M Sport 2Dr Step Auto [tech/pro Pack],2022,2,Petrol,Coupe,4,Semi-auto,8,245,1998,156,42.8,34000,34000,0,42235,0,41650,24,10000,753.02,0,753.01,75.3,828.31,7.55,36,15000,625.47,0,625.47,62.55,688.02,7.55,0,0, 
100033,CIBL00F175EE A,Citroen,Berlingo,Citroen E-berlingo Electric Estate 100kW Flair XTR XL 50kWh 5Dr Auto [11kwch] [7,2022,5,Electric,Estate,7,Auto,1,136,1,0,0,27070.83,27070.83,541.41,32640.29,0,33240,24,10000,583.25,0,583.24,58.33,641.57,7.55,36,15000,465.54,0,465.55,46.55,512.1,7.55,168,50, 
