,capcode,funders,make,model,deriv,mles,months,months up,cm,fm
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,5000.0,24.0,3,706.30,699.98
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,5000.0,36.0,3,547.43,542.60
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,5000.0,48.0,3,501.69,479.58
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,8000.0,24.0,3,726.93,716.05
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,8000.0,36.0,3,570.86,556.73
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,8000.0,48.0,3,521.57,491.16
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,10000.0,24.0,3,740.69,726.76
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,10000.0,36.0,3,586.75,566.40
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,10000.0,48.0,3,534.74,498.79
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,15000.0,24.0,3,780.23,751.26
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,15000.0,36.0,3,632.44,590.88
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,15000.0,48.0,3,575.13,518.07
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,20000.0,24.0,3,828.50,772.75
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,20000.0,36.0,3,682.15,615.78
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,20000.0,48.0,3,616.59,537.38
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,25000.0,24.0,3,856.02,791.47
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,25000.0,36.0,3,719.08,635.14
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,25000.0,48.0,3,650.17,554.94
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,30000.0,24.0,3,904.43,808.42
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,30000.0,36.0,3,760.82,653.79
0,AUA42035T5EDTA  7,arval,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,30000.0,48.0,3,692.78,568.77
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,5000.0,24.0,3,697.73,684.12
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,5000.0,36.0,3,563.10,555.20
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,5000.0,48.0,3,502.57,480.33
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,8000.0,24.0,3,709.43,695.82
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,8000.0,36.0,3,580.06,565.18
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,8000.0,48.0,3,514.92,488.97
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,10000.0,24.0,3,721.13,707.52
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,10000.0,36.0,3,597.02,575.16
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,10000.0,48.0,3,527.25,497.60
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,15000.0,24.0,3,760.20,728.31
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,15000.0,36.0,3,636.23,596.89
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,15000.0,48.0,3,563.05,517.63
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,20000.0,24.0,3,811.74,757.20
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,20000.0,36.0,3,676.67,618.57
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,20000.0,48.0,3,600.48,537.23
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,25000.0,24.0,3,845.20,779.75
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,25000.0,36.0,3,716.31,638.87
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,25000.0,48.0,3,633.83,554.08
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,30000.0,24.0,3,891.49,807.00
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,30000.0,36.0,3,756.82,662.02
0,AUA42035T5EDTA  7,alphabet,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,30000.0,48.0,3,675.00,570.90
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,5000.0,24.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,5000.0,36.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,5000.0,48.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,8000.0,24.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,8000.0,36.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,8000.0,48.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,10000.0,24.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,10000.0,36.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,10000.0,48.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,15000.0,24.0,3,fail,fail
0,AUA42035T5EDTA  7,hitatchi,Audi,A4,Audi A4 Diesel Avant 35 TDI Technik 5Dr S Tronic,15000.0,36.0,3,fail,fail
